body_shape,skin_tone,age_group,gender,height,weight,occasion,clothing_item,fabric,color,pattern
hourglass,fair,teenagers,female,short,thin,formal,blazer,linens,black,none
hourglass,medium,young,female,short,thin,formal,trousers,linens,brown,none
hourglass,olive,adults,female,short,thin,formal,short skirt,linens,white,none
hourglass,tan,teenagers,female,short,thin,formal,long skirt,linens,green,none
inverted triangle,fair,young,female,short,thin,formal,button-up blouse(long sleeve),linens,blue,none
inverted triangle,medium,adults,female,short,thin,formal,button-up blouse(short sleeve),linens,red,none
inverted triangle,olive,teenagers,female,short,thin,formal,button-down blouse(long sleeve),linens,yellow,none
inverted triangle,tan,young,female,short,thin,formal,button-down blouse(short sleeve),linens,green,none
rectangle,fair,adults,female,short,thin,formal,short dress(short sleeve),silk,black,none
rectangle,medium,teenagers,female,short,thin,formal,short dress(long sleeve),silk,brown,none
rectangle,olive,young,female,short,thin,formal,long dress(short sleeve),silk,white,none
rectangle,tan,adults,female,short,thin,formal,long dress(long sleeve),silk,green,none
triangle,fair,teenagers,female,short,thin,formal,saree,silk,blue,none
triangle,medium,young,female,short,thin,formal,saree,cotton,red and white,batik
triangle,olive,adults,female,short,thin,formal,saree,polyester,yellow and white,batik
triangle,tan,teenagers,female,short,thin,formal,saree,silk,green and blue,floral
apple,fair,young,female,short,thin,formal,short dress(short sleeve),viscose,black and red,floral
apple,medium,adults,female,short,thin,formal,short dress(long sleeve),viscose,brown and brown,dot/polka dot
apple,olive,teenagers,female,short,thin,formal,long dress(short sleeve),viscose,white and green,paisley
apple,tan,young,female,short,thin,formal,long dress(long sleeve),viscose,green and yellow,floral
hourglass,fair,adults,female,short,thin,formal,short dress(short sleeve),silk,blue and yellow,dot/polka dot
inverted triangle,fair,teenagers,female,short,thin,formal,short dress(long sleeve),silk,red,paisley
rectangle,fair,young,female,short,thin,formal,long dress(short sleeve),silk,yellow and white,floral
triangle,fair,adults,female,short,thin,formal,long dress(long sleeve),silk,green and brown,dot/polka dot
apple,fair,teenagers,female,short,thin,casual,jeans,denim,black,none
hourglass,medium,young,female,short,thin,casual,t-shirt,viscose,brown,none
inverted triangle,medium,adults,female,short,thin,casual,skinny top,cotton,white and green,floral
rectangle,medium,teenagers,female,short,thin,casual,casual blouse,silk,green,floral
triangle,medium,young,female,short,thin,casual,short trouser,viscose,blue,none
apple,medium,adults,female,short,thin,casual,short skirt,viscose,red and white,floral
hourglass,olive,teenagers,female,short,thin,casual,short dress(short sleeve),viscose,yellow and red,floral
inverted triangle,olive,young,female,short,thin,casual,short dress(long sleeve),cotton,green and brown,dot/polka dot
rectangle,olive,adults,female,short,thin,casual,long dress(short sleeve),silk,black and yellow,floral
triangle,olive,teenagers,female,short,thin,casual,long dress(long sleeve),silk,brown and green,dot/polka dot
apple,olive,young,female,short,thin,casual,jeans,viscose,white,none
hourglass,tan,adults,female,short,thin,casual,t-shirt,cotton,green,none
inverted triangle,tan,teenagers,female,short,thin,casual,skinny top,viscose,blue,none
rectangle,tan,young,female,short,thin,casual,casual blouse,viscose,red and white,dot/polka dot
triangle,tan,adults,female,short,thin,casual,casual blouse,cotton,yellow and brown,paisley
apple,tan,teenagers,female,short,thin,casual,casual blouse,viscose,green and white,floral
hourglass,fair,young,female,normal,thin,sport,t-shirt,cotton,black,none
hourglass,medium,adults,female,normal,thin,sport,jeans,cotton,black,none
hourglass,olive,teenagers,female,normal,thin,sport,short jeans,cotton,brown,none
hourglass,tan,young,female,normal,thin,sport,sports bra,viscose,black,none
inverted triangle,fair,adults,female,normal,thin,sport,leggings,cotton,brown,none
inverted triangle,medium,teenagers,female,normal,thin,party,short dress(short sleeve),viscose,sliver,none
inverted triangle,olive,young,female,normal,thin,party,short dress(long sleeve),cotton,green,none
inverted triangle,tan,adults,female,normal,thin,party,long dress(short sleeve),silk,blue,none
rectangle,fair,teenagers,female,normal,thin,party,long dress(long sleeve),silk,red,none
rectangle,medium,young,female,normal,thin,party,skinny top,viscose,yellow,none
rectangle,olive,adults,female,normal,thin,party,short skirt,viscose,green,none
rectangle,tan,teenagers,female,normal,thin,party,t-shirt,viscose,gold,none
triangle,fair,young,female,normal,thin,party,pants,viscose,black,none
triangle,medium,adults,female,normal,thin,party,button-down blouse(short sleeve),viscose,gold,floral
triangle,olive,teenagers,female,normal,thin,party,button-down blouse(long sleeve),cotton,sliver,none
triangle,tan,young,female,normal,thin,party,button-up blouse(short sleeve),silk,red and white,dot/polka dot
apple,fair,adults,female,normal,thin,party,button-up blouse(long sleeve),viscose,blue,floral
apple,medium,teenagers,female,normal,thin,party,saree(short sleeve saree blouse),cotton,gold,none
apple,olive,young,female,normal,thin,party,saree(long sleeve saree blouse),silk,sliver,batik
apple,tan,adults,female,normal,thin,party,jumpsuit(long sleeve),viscose,green,none
hourglass,fair,teenagers,female,normal,thin,party,jumpsuit(short sleeve),cotton,blue,none
inverted triangle,fair,young,female,normal,thin,party,jumpsuit(long sleeve),viscose,red,none
rectangle,fair,adults,female,normal,thin,party,jumpsuit(short sleeve),cotton,yellow,none
triangle,fair,teenagers,female,normal,thin,party,jumpsuit(long sleeve),viscose,green,none
apple,fair,young,female,normal,thin,party,jumpsuit(short sleeve),cotton,blue,none
hourglass,medium,adults,female,normal,thin,party,jumpsuit(long sleeve),viscose,red ,none
inverted triangle,medium,teenagers,female,normal,thin,party,jumpsuit(short sleeve),cotton,yellow,none
rectangle,medium,young,female,normal,thin,formal,blazer,linens,black,none
triangle,medium,adults,female,normal,thin,formal,trousers,linens,brown,none
apple,medium,teenagers,female,normal,thin,formal,short skirt,linens,white,none
hourglass,olive,young,female,normal,thin,formal,long skirt,linens,green,none
inverted triangle,olive,adults,female,normal,thin,formal,button-up blouse(long sleeve),linens,blue,none
rectangle,olive,teenagers,female,normal,thin,formal,button-up blouse(short sleeve),linens,red,none
triangle,olive,young,female,normal,thin,formal,button-down blouse(long sleeve),linens,yellow,none
apple,olive,adults,female,normal,thin,formal,button-down blouse(short sleeve),linens,green,none
hourglass,tan,teenagers,female,normal,thin,formal,short dress(short sleeve),silk,black,none
inverted triangle,tan,young,female,normal,thin,formal,short dress(long sleeve),silk,brown,none
rectangle,tan,adults,female,normal,thin,formal,long dress(short sleeve),silk,white,none
triangle,tan,teenagers,female,normal,thin,formal,long dress(long sleeve),silk,green,none
apple,tan,young,female,normal,thin,formal,saree,silk,blue,none
hourglass,fair,adults,female,tall,thin,formal,saree,cotton,red and white,batik
hourglass,medium,teenagers,female,tall,thin,formal,saree,polyester,yellow and white,batik
hourglass,olive,young,female,tall,thin,formal,saree,silk,green and blue,floral
hourglass,tan,adults,female,tall,thin,formal,short dress(short sleeve),viscose,black and red,floral
inverted triangle,fair,teenagers,female,tall,thin,formal,short dress(long sleeve),viscose,brown and brown,dot/polka dot
inverted triangle,medium,young,female,tall,thin,formal,long dress(short sleeve),viscose,white and green,paisley
inverted triangle,olive,adults,female,tall,thin,formal,long dress(long sleeve),viscose,green and yellow,floral
inverted triangle,tan,teenagers,female,tall,thin,formal,short dress(short sleeve),silk,blue and yellow,dot/polka dot
rectangle,fair,young,female,tall,thin,formal,short dress(long sleeve),silk,red,paisley
rectangle,medium,adults,female,tall,thin,formal,long dress(short sleeve),silk,yellow and white,floral
rectangle,olive,teenagers,female,tall,thin,formal,long dress(long sleeve),silk,green and brown,dot/polka dot
rectangle,tan,young,female,tall,thin,casual,jeans,denim,black,none
triangle,fair,adults,female,tall,thin,casual,t-shirt,viscose,brown,none
triangle,medium,teenagers,female,tall,thin,casual,skinny top,cotton,white and green,floral
triangle,olive,young,female,tall,thin,casual,casual blouse,silk,green,floral
